sentiment,comment
negative,"﻿nói thật APPLE xài chán , đang xài ip_6_plus mà thấy lúc_nào cũng phải cập_nhật bản vá lỗi APPLE , 9.1 rồi , 9.1 . 9.3.1 rồi giờ 9.9.2 treo máy .
"
negative,"Ah con bác bắt wifi thế_nào . Sao mình thấy hơi kém nhỉ  
"
negative,"kiếm cái logo táo dán lên_mặt sau nữa_là y_chang luôn !
"
positive,"rất đáng mua đặc_biệt hàng Nhật luôn có_tiếng về độ bền_bỉ và linh_kiện chất_lượng do công_nghệ sản_xuất rất cao  
"
positive,"Đặt AW vô những nước phát_triển như Mỹ , Úc , Pháp , Đức , Nhật hay một_vài nước Châu_Âu thì nó thực_sự quá tiện_lợi vì thay_vì bạn phải móc đt ra check thông_tin thì ngay trên tay bạn cũng có_thể làm đc điều đó , quá tiện_lợi . Apple_Pay quá tiên lợi , thanh_toán bằng NFC là xong vô đối , khỏi cồng_kềnh bóp ví này_nọ . Xem mọi thứ từ giờ_giấc , thời_tiết , lịch hẹn , lịch làm_việc , check thông_tin khá tiên lợi . Pin thì mình không nói vì nó phải chạy bằng pin chứ không phải công_nghệ sạc năng_lượng này_nọ mà các bạn đòi_hỏi thời_lượng pin nó cao đc , 1 ngày sạc 1 lần vào ban_đêm là chấp_nhận đc không vấn_đề . Ở Vn thì thật_sự có tiện_lợi không , mình nói_thẳng là chưa chứ không phải không có , cơ_sở_hạ_tầng VN thấp chưa đáp_ứng đủ mọi thứ như một_số quốc_gia tiên_tiến khác , ứng_dụng không đáp_ứng đc thì đôi_khi AW nó không smart nữa mà chỉ la một cái watch bình_thường như các các watch khác , có bằng thì chỉ sử_dụng 1 vài ứng_dụng thôi chứ chưa_thể khai_thác đc hết những tính_năng hay của nó . Chốt lại là nếu mình ở US thì mình cũng xài AW như bạn vì nó thực_sự quá_ư tiện_lợi trong cuộc_sống hằng ngày . Nếu mình qua US đc , điều đầu_tiên mình làm là sẽ vào Apple_Store , đó là mong_ước của mình .
"
positive,"Con này ngon . Đang dùng hãng xách tay 2 tháng nay . Pin 2 ngày vô_tư . Tuy_nhiên chưa biết cài CH_play ở đâu . Toàn phải dùng file apk khi tải
"
positive,"Mình vote cho fly 2 vì có chống nước với boomsound và pin trâu , chơi game rất mượt , chơi alphalt 8 mượt hơn cả moto x style , mặc_dù x style chíp 808 android thuần google , nhưng màn_hình 2k nên gánh ko nổi ( đã so_sánh với em mình xài moto x style )  
"
positive,"em cũng đang dùng 325 mãi ko hư  
"
positive,"Mấy chú cứ hát thoải_mái nhé vì tôi đã lỡ yêu ss_note_7 mất rồi .
"
neutral,"Cái này có hơn cái Intel_750 series ko nhỉ ?
"
